margTIGR,n,landing,coverage
BDG,9,2766,0.777777777777778
BRG,326,0,1
CRS,50,0,1
ERK,323,0,0.876160990712074
MNT,108,0,0.962962962962963
MRO,138,0,0.905797101449275
OSF,29,0,1
HKL,110,0,0.936363636363636
NET,6,0,0.833333333333333
TWL,867,2766,0.941176470588235
1978,124,0,0.919354838709677
1979,102,0,0.92156862745098
1980,271,0,0.878228782287823
1981,237,2766,0.970464135021097
1982,249,0,0.995983935742972
Q1,162,0,0.993827160493827
Q2,289,0,0.86159169550173
Q3,340,0,0.955882352941177
Q4,192,2766,0.984375
