margURCK,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,0,0.0552147239263804
CRS,50,44,0.18
ERK,323,0,0.560371517027864
MNT,108,0,0.490740740740741
MRO,138,0,0.123188405797101
OSF,29,0,0.310344827586207
HKL,110,0,0.1
NET,6,0,0
TWL,867,44,0.319492502883506
1978,124,0,0.193548387096774
1979,102,0,0.303921568627451
1980,271,44,0.273062730627306
1981,237,0,0.223628691983122
1982,249,0,0.42570281124498
Q1,162,0,0.345679012345679
Q2,289,0,0.256055363321799
Q3,340,44,0.308823529411765
Q4,192,0,0.276041666666667
