margWDOW,n,landing,coverage
BDG,9,13218,0.888888888888889
BRG,326,635196,0.782208588957055
CRS,50,182129,0.78
ERK,323,15744399,0.625386996904025
MNT,108,570494,0.574074074074074
MRO,138,219593,0.826086956521739
OSF,29,788477,0.827586206896552
HKL,110,208182,0.836363636363636
NET,6,10917,0.166666666666667
TWL,867,17934407,0.704728950403691
1978,124,749148,0.725806451612903
1979,102,2751370,0.735294117647059
1980,271,10708990,0.675276752767528
1981,237,3288416,0.691983122362869
1982,249,655582,0.771084337349398
Q1,162,4011229,0.679012345679012
Q2,289,4284190,0.671280276816609
Q3,340,4756660,0.776470588235294
Q4,192,5101427,0.708333333333333
