margYEYE,n,landing,coverage
BDG,9,0,1
BRG,326,263217,0.97239263803681
CRS,50,139402,0.94
ERK,323,77824,0.987616099071207
MNT,108,0,1
MRO,138,70542,0.826086956521739
OSF,29,52962,0.896551724137931
HKL,110,88036,0.763636363636364
NET,6,0,1
TWL,867,515911,0.980392156862745
1978,124,184810,0.983870967741935
1979,102,64571,0.941176470588235
1980,271,48575,0.952029520295203
1981,237,99037,0.949367088607595
1982,249,206954,0.959839357429719
Q1,162,75920,0.944444444444444
Q2,289,191218,0.968858131487889
Q3,340,208539,0.964705882352941
Q4,192,128270,0.932291666666667
