margYMTH,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,1535,0.0950920245398773
CRS,50,0,0.38
ERK,323,0,0.365325077399381
MNT,108,0,0.166666666666667
MRO,138,0,0.333333333333333
OSF,29,0,0.206896551724138
HKL,110,0,0.290909090909091
NET,6,0,0.166666666666667
TWL,867,1535,0.23760092272203
1978,124,0,0.0564516129032258
1979,102,1535,0.274509803921569
1980,271,0,0.107011070110701
1981,237,0,0.143459915611814
1982,249,0,0.566265060240964
Q1,162,0,0.222222222222222
Q2,289,0,0.0968858131487889
Q3,340,0,0.338235294117647
Q4,192,1535,0.3125
