margBCAC,n,landing,coverage
BDG,9,689945,0.333333333333333
BRG,326,4401338,0.680981595092024
CRS,50,570089,0.86
ERK,323,2934116,0.786377708978328
MNT,108,2426405,0.638888888888889
MRO,138,1605793,0.5
OSF,29,1665847,0.448275862068966
HKL,110,906394,0.6
NET,6,20053,0.666666666666667
TWL,867,13367086,0.695501730103806
1978,124,1320166,0.637096774193548
1979,102,1408999,0.705882352941177
1980,271,2700181,0.760147601476015
1981,237,5193394,0.70042194092827
1982,249,3670793,0.602409638554217
Q1,162,3371850,0.685185185185185
Q2,289,3877067,0.698961937716263
Q3,340,4274305,0.647058823529412
Q4,192,2770311,0.729166666666667
