margCBZN,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.371165644171779
CRS,50,0,0.2
ERK,323,0,0.0712074303405573
MNT,108,0,0.157407407407407
MRO,138,125,0.86231884057971
OSF,29,0,0.517241379310345
HKL,110,125,0.990909090909091
NET,6,0,0.666666666666667
TWL,867,0,0.230680507497116
1978,124,0,0.201612903225806
1979,102,125,0.480392156862745
1980,271,0,0.446494464944649
1981,237,0,0.210970464135021
1982,249,0,0.273092369477912
Q1,162,0,0.314814814814815
Q2,289,125,0.28719723183391
Q3,340,0,0.344117647058824
Q4,192,0,0.322916666666667
