margCWCD,n,landing,coverage
BDG,9,0,1
BRG,326,19164,0.993865030674847
CRS,50,0,1
ERK,323,0,1
MNT,108,5665,0.981481481481482
MRO,138,79368,0.920289855072464
OSF,29,6027,0.793103448275862
HKL,110,78600,0.909090909090909
NET,6,0,1
TWL,867,31624,0.987312572087659
1978,124,0,1
1979,102,28859,0.970588235294118
1980,271,22193,0.981549815498155
1981,237,21283,0.962025316455696
1982,249,37889,0.983935742971888
Q1,162,8257,0.975308641975309
Q2,289,19263,0.98961937716263
Q3,340,81353,0.961764705882353
Q4,192,1351,0.994791666666667
