margGSPT,n,landing,coverage
BDG,9,0,1
BRG,326,274928,0.822085889570552
CRS,50,23232,0.66
ERK,323,231696,0.897832817337461
MNT,108,15597,0.953703703703704
MRO,138,105637,0.782608695652174
OSF,29,24513,0.931034482758621
HKL,110,108515,0.745454545454545
NET,6,0,1
TWL,867,567088,0.865051903114187
1978,124,27031,0.854838709677419
1979,102,91046,0.813725490196078
1980,271,81904,0.841328413284133
1981,237,329640,0.856540084388186
1982,249,145982,0.875502008032129
Q1,162,224167,0.851851851851852
Q2,289,167944,0.8719723183391
Q3,340,124482,0.844117647058824
Q4,192,159010,0.838541666666667
