margLCOD,n,landing,coverage
BDG,9,0,1
BRG,326,26912,0.996932515337423
CRS,50,0,1
ERK,323,0,1
MNT,108,45746,0.944444444444444
MRO,138,142506,0.891304347826087
OSF,29,0,1
HKL,110,9396,0.963636363636364
NET,6,2863,1
TWL,867,202905,0.97923875432526
1978,124,3899,0.991935483870968
1979,102,7166,0.970588235294118
1980,271,177136,0.944649446494465
1981,237,26525,0.991561181434599
1982,249,438,0.995983935742972
Q1,162,4993,0.993827160493827
Q2,289,70244,0.961937716262976
Q3,340,122173,0.976470588235294
Q4,192,17754,0.989583333333333
