margLSPN,n,landing,coverage
BDG,9,0,0.222222222222222
BRG,326,432,0.389570552147239
CRS,50,0,0.26
ERK,323,0,0.46749226006192
MNT,108,0,0.425925925925926
MRO,138,0,0.905797101449275
OSF,29,0,0.551724137931034
HKL,110,0,0.972727272727273
NET,6,0,0.333333333333333
TWL,867,432,0.427912341407151
1978,124,163,0.556451612903226
1979,102,0,0.745098039215686
1980,271,269,0.166051660516605
1981,237,0,0.60337552742616
1982,249,0,0.590361445783133
Q1,162,0,0.617283950617284
Q2,289,0,0.301038062283737
Q3,340,269,0.570588235294118
Q4,192,163,0.515625
