margMXRF,n,landing,coverage
BDG,9,0,0.666666666666667
BRG,326,15828,0.426380368098159
CRS,50,0,0.14
ERK,323,0,0.653250773993808
MNT,108,0,0.277777777777778
MRO,138,0,0.768115942028985
OSF,29,0,0.379310344827586
HKL,110,0,0.936363636363636
NET,6,0,0.166666666666667
TWL,867,15828,0.468281430219146
1978,124,0,0.338709677419355
1979,102,0,0.588235294117647
1980,271,15828,0.391143911439114
1981,237,0,0.704641350210971
1982,249,0,0.542168674698795
Q1,162,0,0.438271604938272
Q2,289,6676,0.747404844290657
Q3,340,9152,0.297058823529412
Q4,192,0,0.635416666666667
