margOLVE,n,landing,coverage
BDG,9,0,0.555555555555556
BRG,326,0,0.438650306748466
CRS,50,0,0.44
ERK,323,0,0.743034055727554
MNT,108,7525,0.805555555555556
MRO,138,17817,0.782608695652174
OSF,29,0,0.551724137931034
HKL,110,24120,0.936363636363636
NET,6,0,1
TWL,867,1222,0.590542099192618
1978,124,0,0.32258064516129
1979,102,4165,0.637254901960784
1980,271,6674,0.697416974169742
1981,237,374,0.565400843881857
1982,249,14129,0.775100401606426
Q1,162,0,0.740740740740741
Q2,289,5016,0.588235294117647
Q3,340,19210,0.611764705882353
Q4,192,1116,0.640625
