margQLBK,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,232,0.306748466257669
CRS,50,0,0.36
ERK,323,0,0.0990712074303406
MNT,108,0,0.138888888888889
MRO,138,0,0.644927536231884
OSF,29,0,0.344827586206897
HKL,110,0,0.727272727272727
NET,6,0,0.166666666666667
TWL,867,232,0.215686274509804
1978,124,232,0.330645161290323
1979,102,0,0.245098039215686
1980,271,0,0.313653136531365
1981,237,0,0.291139240506329
1982,249,0,0.192771084337349
Q1,162,232,0.450617283950617
Q2,289,0,0.124567474048443
Q3,340,0,0.3
Q4,192,0,0.296875
