margREX,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.180981595092025
CRS,50,0,0.4
ERK,323,0,0.554179566563467
MNT,108,0,0.287037037037037
MRO,138,0,0.485507246376812
OSF,29,3731,0.275862068965517
HKL,110,0,0.554545454545455
NET,6,0,0.166666666666667
TWL,867,3731,0.352941176470588
1978,124,0,0.193548387096774
1979,102,0,0.450980392156863
1980,271,0,0.498154981549816
1981,237,0,0.172995780590717
1982,249,3731,0.48995983935743
Q1,162,0,0.41358024691358
Q2,289,3731,0.43598615916955
Q3,340,0,0.426470588235294
Q4,192,0,0.15625
