margREYE,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.303680981595092
CRS,50,0,0.3
ERK,323,0,0.253869969040248
MNT,108,0,0.425925925925926
MRO,138,0,0.797101449275362
OSF,29,0,0.517241379310345
HKL,110,0,0.990909090909091
NET,6,0,0
TWL,867,0,0.302191464821223
1978,124,0,0.193548387096774
1979,102,0,0.696078431372549
1980,271,0,0.487084870848708
1981,237,0,0.29535864978903
1982,249,0,0.29718875502008
Q1,162,0,0.308641975308642
Q2,289,0,0.529411764705882
Q3,340,0,0.317647058823529
Q4,192,0,0.3125
