margROSY,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.116564417177914
CRS,50,0,0.18
ERK,323,0,0.442724458204334
MNT,108,0,0.555555555555556
MRO,138,321,0.86231884057971
OSF,29,0,0.275862068965517
HKL,110,321,0.963636363636364
NET,6,0,1
TWL,867,0,0.305651672433679
1978,124,0,0.209677419354839
1979,102,0,0.303921568627451
1980,271,60,0.398523985239852
1981,237,136,0.443037974683544
1982,249,125,0.429718875502008
Q1,162,125,0.524691358024691
Q2,289,0,0.474048442906574
Q3,340,60,0.258823529411765
Q4,192,136,0.348958333333333
