margSBLY,n,landing,coverage
BDG,9,6313,0.666666666666667
BRG,326,387,0.751533742331288
CRS,50,0,0.68
ERK,323,0,0.876160990712074
MNT,108,900,0.805555555555556
MRO,138,0,0.949275362318841
OSF,29,0,0.827586206896552
HKL,110,0,0.927272727272727
NET,6,0,0.5
TWL,867,7600,0.813148788927336
1978,124,387,0.532258064516129
1979,102,0,0.774509803921569
1980,271,0,0.715867158671587
1981,237,0,0.991561181434599
1982,249,7213,0.947791164658635
Q1,162,0,0.950617283950617
Q2,289,6588,0.896193771626298
Q3,340,112,0.629411764705882
Q4,192,900,0.953125
