margSHRP,n,landing,coverage
BDG,9,0,0.222222222222222
BRG,326,3698,0.334355828220859
CRS,50,0,0.52
ERK,323,0,0.513931888544892
MNT,108,0,0.305555555555556
MRO,138,0,0.797101449275362
OSF,29,0,0.482758620689655
HKL,110,0,0.936363636363636
NET,6,0,0.666666666666667
TWL,867,3698,0.407151095732411
1978,124,0,0.298387096774194
1979,102,3698,0.852941176470588
1980,271,0,0.461254612546125
1981,237,0,0.40506329113924
1982,249,0,0.461847389558233
Q1,162,0,0.592592592592593
Q2,289,0,0.522491349480969
Q3,340,1139,0.311764705882353
Q4,192,2559,0.557291666666667
