margSLGR,n,landing,coverage
BDG,9,0,0.666666666666667
BRG,326,0,0.886503067484663
CRS,50,0,0.94
ERK,323,1894,0.86687306501548
MNT,108,0,0.990740740740741
MRO,138,0,1
OSF,29,0,0.931034482758621
HKL,110,0,1
NET,6,0,1
TWL,867,1894,0.897347174163783
1978,124,0,0.991935483870968
1979,102,1894,0.980392156862745
1980,271,0,0.992619926199262
1981,237,0,0.831223628691983
1982,249,0,0.823293172690763
Q1,162,1894,0.882716049382716
Q2,289,0,0.930795847750865
Q3,340,0,0.867647058823529
Q4,192,0,0.973958333333333
