margSPKL,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.739263803680982
CRS,50,0,0.96
ERK,323,0,0.996904024767802
MNT,108,13256,0.962962962962963
MRO,138,29218,0.86231884057971
OSF,29,0,0.620689655172414
HKL,110,35331,0.845454545454545
NET,6,2555,0.833333333333333
TWL,867,4588,0.880046136101499
1978,124,2555,0.959677419354839
1979,102,9951,0.754901960784314
1980,271,1542,0.830258302583026
1981,237,12829,0.869198312236287
1982,249,15597,0.939759036144578
Q1,162,11599,0.888888888888889
Q2,289,6194,0.903114186851211
Q3,340,1856,0.85
Q4,192,22825,0.869791666666667
