margTIGR,n,landing,coverage
BDG,9,2766,0.444444444444444
BRG,326,0,0.300613496932515
CRS,50,0,0.24
ERK,323,0,0.065015479876161
MNT,108,0,0.518518518518518
MRO,138,0,0.514492753623188
OSF,29,0,0.551724137931034
HKL,110,0,0.645454545454546
NET,6,0,0.5
TWL,867,2766,0.235294117647059
1978,124,0,0.258064516129032
1979,102,0,0.42156862745098
1980,271,0,0.357933579335793
1981,237,2766,0.164556962025316
1982,249,0,0.269076305220884
Q1,162,0,0.401234567901235
Q2,289,0,0.107266435986159
Q3,340,0,0.394117647058824
Q4,192,2766,0.25
