margWDOW,n,landing,coverage
BDG,9,13218,1
BRG,326,635196,0.98159509202454
CRS,50,182129,0.98
ERK,323,15744399,0.795665634674923
MNT,108,570494,0.925925925925926
MRO,138,219593,0.992753623188406
OSF,29,788477,0.96551724137931
HKL,110,208182,1
NET,6,10917,1
TWL,867,17934407,0.904267589388697
1978,124,749148,0.967741935483871
1979,102,2751370,0.892156862745098
1980,271,10708990,0.878228782287823
1981,237,3288416,0.869198312236287
1982,249,655582,0.983935742971888
Q1,162,4011229,0.91358024691358
Q2,289,4284190,0.8719723183391
Q3,340,4756660,0.941176470588235
Q4,192,5101427,0.9375
