margYTRK,n,landing,coverage
BDG,9,4003,1
BRG,326,492844,0.984662576687117
CRS,50,465516,0.96
ERK,323,885402,0.956656346749226
MNT,108,333889,0.944444444444444
MRO,138,199364,0.942028985507246
OSF,29,55138,1
HKL,110,571560,0.918181818181818
NET,6,31893,1
TWL,867,1832703,0.970011534025375
1978,124,618089,0.983870967741935
1979,102,154519,0.980392156862745
1980,271,242145,0.970479704797048
1981,237,767033,0.940928270042194
1982,249,654370,0.963855421686747
Q1,162,493422,0.975308641975309
Q2,289,309370,0.975778546712803
Q3,340,1084024,0.967647058823529
Q4,192,549340,0.932291666666667
