margBANK,n,landing,coverage
BDG,9,0,1
BRG,326,610204,0.920245398773006
CRS,50,0,1
ERK,323,71047,0.975232198142415
MNT,108,687699,0.814814814814815
MRO,138,316205,0.77536231884058
OSF,29,0,1
HKL,110,87376,0.772727272727273
NET,6,36046,0.833333333333333
TWL,867,1561733,0.931949250288351
1978,124,86843,0.959677419354839
1979,102,83366,0.892156862745098
1980,271,107956,0.959409594095941
1981,237,888719,0.907172995780591
1982,249,518271,0.855421686746988
Q1,162,615603,0.858024691358025
Q2,289,575087,0.910034602076125
Q3,340,304023,0.95
Q4,192,190442,0.901041666666667
