margCLPR,n,landing,coverage
BDG,9,160601,1
BRG,326,5460561,0.950920245398773
CRS,50,18822,0.98
ERK,323,1278213,0.956656346749226
MNT,108,1573782,0.953703703703704
MRO,138,841860,0.971014492753623
OSF,29,837157,0.96551724137931
HKL,110,597138,0.972727272727273
NET,6,0,1
TWL,867,9573858,0.956170703575548
1978,124,1172492,0.943548387096774
1979,102,2327247,0.892156862745098
1980,271,2560887,0.96309963099631
1981,237,2252765,0.974683544303797
1982,249,1857605,0.971887550200803
Q1,162,2134234,0.962962962962963
Q2,289,2254890,0.965397923875433
Q3,340,3183438,0.952941176470588
Q4,192,2598434,0.953125
