margCOPP,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.171779141104294
CRS,50,0,0.96
ERK,323,6444,0.984520123839009
MNT,108,0,0.75
MRO,138,2014,0.992753623188406
OSF,29,15228,0.96551724137931
HKL,110,20839,0.963636363636364
NET,6,0,0.333333333333333
TWL,867,2847,0.656286043829296
1978,124,0,0.459677419354839
1979,102,0,0.813725490196078
1980,271,19234,0.575645756457565
1981,237,0,0.670886075949367
1982,249,4452,0.891566265060241
Q1,162,0,0.777777777777778
Q2,289,15228,0.660899653979239
Q3,340,7833,0.647058823529412
Q4,192,625,0.729166666666667
