margDBRK,n,landing,coverage
BDG,9,0,1
BRG,326,531408,0.957055214723926
CRS,50,377839,0.88
ERK,323,651570,0.910216718266254
MNT,108,7679,0.981481481481482
MRO,138,2352,0.992753623188406
OSF,29,5802,1
HKL,110,3589,1
NET,6,0,1
TWL,867,1573061,0.94002306805075
1978,124,78910,0.951612903225806
1979,102,233217,0.970588235294118
1980,271,322036,0.959409594095941
1981,237,619303,0.962025316455696
1982,249,323184,0.907630522088353
Q1,162,549140,0.950617283950617
Q2,289,386369,0.941176470588235
Q3,340,290371,0.967647058823529
Q4,192,350770,0.916666666666667
