margEGLS,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,0,0.288343558282209
CRS,50,0,0.42
ERK,323,0,0.43343653250774
MNT,108,1398,0.62037037037037
MRO,138,0,0.5
OSF,29,0,0.620689655172414
HKL,110,0,0.545454545454545
NET,6,0,1
TWL,867,1398,0.39677047289504
1978,124,0,0.645161290322581
1979,102,0,0.215686274509804
1980,271,1398,0.416974169741697
1981,237,0,0.379746835443038
1982,249,0,0.421686746987952
Q1,162,0,0.617283950617284
Q2,289,0,0.224913494809689
Q3,340,1398,0.6
Q4,192,0,0.213541666666667
