margFLAG,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.328220858895706
CRS,50,1522,0.98
ERK,323,293,0.730650154798762
MNT,108,0,0.490740740740741
MRO,138,2013,0.963768115942029
OSF,29,0,1
HKL,110,1682,0.945454545454545
NET,6,0,0.333333333333333
TWL,867,2146,0.588235294117647
1978,124,0,0.524193548387097
1979,102,0,0.588235294117647
1980,271,331,0.571955719557196
1981,237,1742,0.59915611814346
1982,249,1755,0.779116465863454
Q1,162,526,0.827160493827161
Q2,289,1522,0.619377162629758
Q3,340,599,0.517647058823529
Q4,192,1181,0.661458333333333
