margGRAS,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.319018404907975
CRS,50,0,0.16
ERK,323,1251,0.61609907120743
MNT,108,0,0.240740740740741
MRO,138,0,0.304347826086957
OSF,29,0,0.310344827586207
HKL,110,0,0.218181818181818
NET,6,0,0.333333333333333
TWL,867,1251,0.422145328719723
1978,124,0,0.314516129032258
1979,102,0,0.509803921568627
1980,271,0,0.29520295202952
1981,237,0,0.443037974683544
1982,249,1251,0.465863453815261
Q1,162,0,0.388888888888889
Q2,289,1251,0.214532871972318
Q3,340,0,0.461764705882353
Q4,192,0,0.572916666666667
