margGSPT,n,landing,coverage
BDG,9,0,1
BRG,326,274928,0.984662576687117
CRS,50,23232,1
ERK,323,231696,0.987616099071207
MNT,108,15597,0.981481481481482
MRO,138,105637,0.985507246376812
OSF,29,24513,0.96551724137931
HKL,110,108515,0.972727272727273
NET,6,0,1
TWL,867,567088,0.987312572087659
1978,124,27031,0.991935483870968
1979,102,91046,0.990196078431373
1980,271,81904,0.977859778597786
1981,237,329640,0.978902953586498
1982,249,145982,0.995983935742972
Q1,162,224167,0.981481481481482
Q2,289,167944,0.97923875432526
Q3,340,124482,0.991176470588235
Q4,192,159010,0.989583333333333
