margREDS,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,4464,0.99079754601227
CRS,50,0,0.86
ERK,323,4155,0.993808049535604
MNT,108,0,0.555555555555556
MRO,138,0,0.826086956521739
OSF,29,0,0.620689655172414
HKL,110,0,0.854545454545454
NET,6,0,0.666666666666667
TWL,867,8619,0.910034602076125
1978,124,0,0.975806451612903
1979,102,0,0.843137254901961
1980,271,3996,0.985239852398524
1981,237,468,0.843881856540084
1982,249,4155,0.855421686746988
Q1,162,468,0.833333333333333
Q2,289,7030,0.885813148788927
Q3,340,0,0.932352941176471
Q4,192,1121,0.932291666666667
