margREX,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.171779141104294
CRS,50,0,0.16
ERK,323,0,0.148606811145511
MNT,108,0,0.0462962962962963
MRO,138,0,0.485507246376812
OSF,29,3731,0.96551724137931
HKL,110,0,0.381818181818182
NET,6,0,0.166666666666667
TWL,867,3731,0.199538638985006
1978,124,0,0.185483870967742
1979,102,0,0.274509803921569
1980,271,0,0.129151291512915
1981,237,0,0.29957805907173
1982,249,3731,0.236947791164659
Q1,162,0,0.283950617283951
Q2,289,3731,0.162629757785467
Q3,340,0,0.176470588235294
Q4,192,0,0.328125
