margREYE,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.125766871165644
CRS,50,0,0.14
ERK,323,0,0.328173374613003
MNT,108,0,0.296296296296296
MRO,138,0,0.768115942028985
OSF,29,0,0.275862068965517
HKL,110,0,0.763636363636364
NET,6,0,0.166666666666667
TWL,867,0,0.2479815455594
1978,124,0,0.0161290322580645
1979,102,0,0.401960784313726
1980,271,0,0.254612546125461
1981,237,0,0.485232067510549
1982,249,0,0.293172690763052
Q1,162,0,0.191358024691358
Q2,289,0,0.377162629757785
Q3,340,0,0.291176470588235
Q4,192,0,0.317708333333333
