margROSY,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.398773006134969
CRS,50,0,0.82
ERK,323,0,0.38390092879257
MNT,108,0,0.518518518518518
MRO,138,321,0.971014492753623
OSF,29,0,0.758620689655172
HKL,110,321,0.918181818181818
NET,6,0,0.833333333333333
TWL,867,0,0.471741637831603
1978,124,0,0.241935483870968
1979,102,0,0.382352941176471
1980,271,60,0.601476014760148
1981,237,136,0.755274261603376
1982,249,125,0.417670682730924
Q1,162,125,0.814814814814815
Q2,289,0,0.449826989619377
Q3,340,60,0.444117647058824
Q4,192,136,0.53125
