margSHRP,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,3698,0.693251533742331
CRS,50,0,0.76
ERK,323,0,0.30030959752322
MNT,108,0,0.472222222222222
MRO,138,0,0.427536231884058
OSF,29,0,0.724137931034483
HKL,110,0,0.309090909090909
NET,6,0,0.333333333333333
TWL,867,3698,0.527104959630911
1978,124,0,0.403225806451613
1979,102,3698,0.745098039215686
1980,271,0,0.701107011070111
1981,237,0,0.274261603375527
1982,249,0,0.449799196787149
Q1,162,0,0.358024691358025
Q2,289,0,0.318339100346021
Q3,340,1139,0.714705882352941
Q4,192,2559,0.520833333333333
