margSNOS,n,landing,coverage
BDG,9,0,1
BRG,326,268508,0.95398773006135
CRS,50,70112,0.98
ERK,323,39151,0.975232198142415
MNT,108,37461,0.990740740740741
MRO,138,150858,0.971014492753623
OSF,29,197641,0.862068965517241
HKL,110,0,1
NET,6,0,1
TWL,867,763731,0.961937716262976
1978,124,3677,0.975806451612903
1979,102,19016,0.990196078431373
1980,271,223827,0.974169741697417
1981,237,308301,0.949367088607595
1982,249,208910,0.959839357429719
Q1,162,183959,0.950617283950617
Q2,289,182634,0.975778546712803
Q3,340,342259,0.970588235294118
Q4,192,54879,0.958333333333333
