margTIGR,n,landing,coverage
BDG,9,2766,0.888888888888889
BRG,326,0,0.0245398773006135
CRS,50,0,0.22
ERK,323,0,0.352941176470588
MNT,108,0,0.472222222222222
MRO,138,0,0.514492753623188
OSF,29,0,0.551724137931034
HKL,110,0,0.581818181818182
NET,6,0,0.5
TWL,867,2766,0.244521337946943
1978,124,0,0.0564516129032258
1979,102,0,0.372549019607843
1980,271,0,0.14760147601476
1981,237,2766,0.122362869198312
1982,249,0,0.662650602409639
Q1,162,0,0.320987654320988
Q2,289,0,0.273356401384083
Q3,340,0,0.258823529411765
Q4,192,2766,0.3125
