margURCK,n,landing,coverage
BDG,9,0,0.777777777777778
BRG,326,0,0.0674846625766871
CRS,50,44,0.98
ERK,323,0,0.563467492260062
MNT,108,0,0.351851851851852
MRO,138,0,0.623188405797101
OSF,29,0,0.517241379310345
HKL,110,0,0.690909090909091
NET,6,0,0.666666666666667
TWL,867,44,0.367935409457901
1978,124,0,0.274193548387097
1979,102,0,0.470588235294118
1980,271,44,0.269372693726937
1981,237,0,0.455696202531646
1982,249,0,0.546184738955823
Q1,162,0,0.425925925925926
Q2,289,0,0.532871972318339
Q3,340,44,0.391176470588235
Q4,192,0,0.223958333333333
