margYEYE,n,landing,coverage
BDG,9,0,1
BRG,326,263217,0.97239263803681
CRS,50,139402,0.94
ERK,323,77824,0.987616099071207
MNT,108,0,1
MRO,138,70542,0.992753623188406
OSF,29,52962,1
HKL,110,88036,0.981818181818182
NET,6,0,1
TWL,867,515911,0.982698961937716
1978,124,184810,0.983870967741935
1979,102,64571,1
1980,271,48575,0.974169741697417
1981,237,99037,0.987341772151899
1982,249,206954,0.979919678714859
Q1,162,75920,1
Q2,289,191218,0.986159169550173
Q3,340,208539,0.976470588235294
Q4,192,128270,0.973958333333333
