species,gear,year,n,landing,coverage
ARRA,HKL,1978,1,31286,1
ARRA,HKL,1979,29,781540,1
ARRA,HKL,1980,24,630761,1
ARRA,HKL,1981,27,637932,1
ARRA,HKL,1982,29,1775568,1
ARRA,NET,1978,4,67535,1
ARRA,NET,1979,1,746,1
ARRA,NET,1982,1,150192,1
ARRA,TWL,1978,119,5764425,0.991596638655462
ARRA,TWL,1979,72,7304535,0.986111111111111
ARRA,TWL,1980,247,18260573,0.979757085020243
ARRA,TWL,1981,210,15828056,0.980952380952381
ARRA,TWL,1982,219,9197127,0.936073059360731
BANK,HKL,1978,1,31286,1
BANK,HKL,1979,29,781540,0.724137931034483
BANK,HKL,1980,24,630761,0.875
BANK,HKL,1981,27,637932,0.814814814814815
BANK,HKL,1982,29,1775568,0.655172413793103
BANK,NET,1978,4,67535,1
BANK,NET,1979,1,746,1
BANK,NET,1982,1,150192,0
BANK,TWL,1978,119,5764425,0.957983193277311
BANK,TWL,1979,72,7304535,0.958333333333333
BANK,TWL,1980,247,18260573,0.967611336032389
BANK,TWL,1981,210,15828056,0.914285714285714
BANK,TWL,1982,219,9197127,0.881278538812785
BCAC,HKL,1978,1,31286,0
BCAC,HKL,1979,29,781540,0.448275862068966
BCAC,HKL,1980,24,630761,0.708333333333333
BCAC,HKL,1981,27,637932,0.62962962962963
BCAC,HKL,1982,29,1775568,0.655172413793103
BCAC,NET,1978,4,67535,0.5
BCAC,NET,1979,1,746,1
BCAC,NET,1982,1,150192,1
BCAC,TWL,1978,119,5764425,0.621848739495798
BCAC,TWL,1979,72,7304535,0.763888888888889
BCAC,TWL,1980,247,18260573,0.761133603238866
BCAC,TWL,1981,210,15828056,0.69047619047619
BCAC,TWL,1982,219,9197127,0.607305936073059
BLCK,HKL,1978,1,31286,1
BLCK,HKL,1979,29,781540,0.96551724137931
BLCK,HKL,1980,24,630761,1
BLCK,HKL,1981,27,637932,1
BLCK,HKL,1982,29,1775568,0.896551724137931
BLCK,NET,1978,4,67535,1
BLCK,NET,1979,1,746,1
BLCK,NET,1982,1,150192,1
BLCK,TWL,1978,119,5764425,0.949579831932773
BLCK,TWL,1979,72,7304535,0.986111111111111
BLCK,TWL,1980,247,18260573,0.935222672064777
BLCK,TWL,1981,210,15828056,0.923809523809524
BLCK,TWL,1982,219,9197127,0.894977168949772
BLGL,HKL,1978,1,31286,1
BLGL,HKL,1979,29,781540,0.931034482758621
BLGL,HKL,1980,24,630761,1
BLGL,HKL,1981,27,637932,1
BLGL,HKL,1982,29,1775568,1
BLGL,NET,1978,4,67535,1
BLGL,NET,1979,1,746,1
BLGL,NET,1982,1,150192,0
BLGL,TWL,1978,119,5764425,0.974789915966387
BLGL,TWL,1979,72,7304535,0.944444444444444
BLGL,TWL,1980,247,18260573,0.97165991902834
BLGL,TWL,1981,210,15828056,0.976190476190476
BLGL,TWL,1982,219,9197127,0.963470319634703
BLUR,HKL,1978,1,31286,1
BLUR,HKL,1979,29,781540,0.862068965517241
BLUR,HKL,1980,24,630761,0.958333333333333
BLUR,HKL,1981,27,637932,0.962962962962963
BLUR,HKL,1982,29,1775568,0.896551724137931
BLUR,NET,1978,4,67535,1
BLUR,NET,1979,1,746,0
BLUR,NET,1982,1,150192,1
BLUR,TWL,1978,119,5764425,0.428571428571429
BLUR,TWL,1979,72,7304535,0.513888888888889
BLUR,TWL,1980,247,18260573,0.761133603238866
BLUR,TWL,1981,210,15828056,0.79047619047619
BLUR,TWL,1982,219,9197127,0.940639269406393
BRNZ,HKL,1978,1,31286,0
BRNZ,HKL,1979,29,781540,0.96551724137931
BRNZ,HKL,1980,24,630761,0.833333333333333
BRNZ,HKL,1981,27,637932,1
BRNZ,HKL,1982,29,1775568,0.96551724137931
BRNZ,NET,1978,4,67535,0
BRNZ,NET,1979,1,746,0
BRNZ,NET,1982,1,150192,1
BRNZ,TWL,1978,119,5764425,0.470588235294118
BRNZ,TWL,1979,72,7304535,0.444444444444444
BRNZ,TWL,1980,247,18260573,0.550607287449393
BRNZ,TWL,1981,210,15828056,0.3
BRNZ,TWL,1982,219,9197127,0.36986301369863
BRWN,HKL,1978,1,31286,1
BRWN,HKL,1979,29,781540,1
BRWN,HKL,1980,24,630761,0.958333333333333
BRWN,HKL,1981,27,637932,1
BRWN,HKL,1982,29,1775568,1
BRWN,NET,1978,4,67535,1
BRWN,NET,1979,1,746,1
BRWN,NET,1982,1,150192,1
BRWN,TWL,1978,119,5764425,0.991596638655462
BRWN,TWL,1979,72,7304535,1
BRWN,TWL,1980,247,18260573,0.991902834008097
BRWN,TWL,1981,210,15828056,0.89047619047619
BRWN,TWL,1982,219,9197127,0.789954337899543
CBZN,HKL,1978,1,31286,1
CBZN,HKL,1979,29,781540,0.206896551724138
CBZN,HKL,1980,24,630761,1
CBZN,HKL,1981,27,637932,0.814814814814815
CBZN,HKL,1982,29,1775568,0.413793103448276
CBZN,NET,1978,4,67535,1
CBZN,NET,1979,1,746,0
CBZN,NET,1982,1,150192,0
CBZN,TWL,1978,119,5764425,0.168067226890756
CBZN,TWL,1979,72,7304535,0.430555555555556
CBZN,TWL,1980,247,18260573,0.417004048582996
CBZN,TWL,1981,210,15828056,0.261904761904762
CBZN,TWL,1982,219,9197127,0.246575342465753
CLPR,HKL,1978,1,31286,0
CLPR,HKL,1979,29,781540,0.620689655172414
CLPR,HKL,1980,24,630761,0.875
CLPR,HKL,1981,27,637932,0.777777777777778
CLPR,HKL,1982,29,1775568,0.655172413793103
CLPR,NET,1978,4,67535,1
CLPR,NET,1979,1,746,1
CLPR,NET,1982,1,150192,1
CLPR,TWL,1978,119,5764425,0.722689075630252
CLPR,TWL,1979,72,7304535,0.486111111111111
CLPR,TWL,1980,247,18260573,0.692307692307692
CLPR,TWL,1981,210,15828056,0.795238095238095
CLPR,TWL,1982,219,9197127,0.71689497716895
CNRY,HKL,1978,1,31286,1
CNRY,HKL,1979,29,781540,0.931034482758621
CNRY,HKL,1980,24,630761,0.875
CNRY,HKL,1981,27,637932,0.703703703703704
CNRY,HKL,1982,29,1775568,0.827586206896552
CNRY,NET,1978,4,67535,1
CNRY,NET,1979,1,746,1
CNRY,NET,1982,1,150192,1
CNRY,TWL,1978,119,5764425,0.579831932773109
CNRY,TWL,1979,72,7304535,0.694444444444444
CNRY,TWL,1980,247,18260573,0.757085020242915
CNRY,TWL,1981,210,15828056,0.795238095238095
CNRY,TWL,1982,219,9197127,0.753424657534247
COPP,HKL,1978,1,31286,1
COPP,HKL,1979,29,781540,1
COPP,HKL,1980,24,630761,0.916666666666667
COPP,HKL,1981,27,637932,1
COPP,HKL,1982,29,1775568,0.96551724137931
COPP,NET,1978,4,67535,1
COPP,NET,1979,1,746,1
COPP,NET,1982,1,150192,1
COPP,TWL,1978,119,5764425,0.588235294117647
COPP,TWL,1979,72,7304535,0.694444444444444
COPP,TWL,1980,247,18260573,0.615384615384615
COPP,TWL,1981,210,15828056,0.757142857142857
COPP,TWL,1982,219,9197127,0.885844748858447
CWCD,HKL,1978,1,31286,1
CWCD,HKL,1979,29,781540,0.896551724137931
CWCD,HKL,1980,24,630761,0.791666666666667
CWCD,HKL,1981,27,637932,0.962962962962963
CWCD,HKL,1982,29,1775568,0.96551724137931
CWCD,NET,1978,4,67535,1
CWCD,NET,1979,1,746,1
CWCD,NET,1982,1,150192,1
CWCD,TWL,1978,119,5764425,1
CWCD,TWL,1979,72,7304535,1
CWCD,TWL,1980,247,18260573,1
CWCD,TWL,1981,210,15828056,0.985714285714286
CWCD,TWL,1982,219,9197127,0.986301369863014
DBRK,HKL,1978,1,31286,1
DBRK,HKL,1979,29,781540,1
DBRK,HKL,1980,24,630761,1
DBRK,HKL,1981,27,637932,0.962962962962963
DBRK,HKL,1982,29,1775568,1
DBRK,NET,1978,4,67535,1
DBRK,NET,1979,1,746,1
DBRK,NET,1982,1,150192,1
DBRK,TWL,1978,119,5764425,0.823529411764706
DBRK,TWL,1979,72,7304535,0.875
DBRK,TWL,1980,247,18260573,0.878542510121457
DBRK,TWL,1981,210,15828056,0.847619047619048
DBRK,TWL,1982,219,9197127,0.771689497716895
EGLS,HKL,1978,1,31286,1
EGLS,HKL,1979,29,781540,0.758620689655172
EGLS,HKL,1980,24,630761,0.541666666666667
EGLS,HKL,1981,27,637932,0.444444444444444
EGLS,HKL,1982,29,1775568,0.310344827586207
EGLS,NET,1978,4,67535,0.25
EGLS,NET,1979,1,746,0
EGLS,NET,1982,1,150192,0
EGLS,TWL,1978,119,5764425,0.378151260504202
EGLS,TWL,1979,72,7304535,0.625
EGLS,TWL,1980,247,18260573,0.121457489878543
EGLS,TWL,1981,210,15828056,0.171428571428571
EGLS,TWL,1982,219,9197127,0.164383561643836
FLAG,HKL,1978,1,31286,1
FLAG,HKL,1979,29,781540,1
FLAG,HKL,1980,24,630761,1
FLAG,HKL,1981,27,637932,0.888888888888889
FLAG,HKL,1982,29,1775568,0.96551724137931
FLAG,NET,1978,4,67535,1
FLAG,NET,1979,1,746,1
FLAG,NET,1982,1,150192,1
FLAG,TWL,1978,119,5764425,0.65546218487395
FLAG,TWL,1979,72,7304535,0.680555555555556
FLAG,TWL,1980,247,18260573,0.821862348178138
FLAG,TWL,1981,210,15828056,0.5
