margBCAC,n,landing,coverage
BDG,9,689945,0.777777777777778
BRG,326,4401338,0.950920245398773
CRS,50,570089,0.98
ERK,323,2934116,0.938080495356037
MNT,108,2426405,0.898148148148148
MRO,138,1605793,0.898550724637681
OSF,29,1665847,0.862068965517241
HKL,110,906394,0.890909090909091
NET,6,20053,1
TWL,867,13367086,0.935409457900807
1978,124,1320166,0.92741935483871
1979,102,1408999,0.941176470588235
1980,271,2700181,0.952029520295203
1981,237,5193394,0.907172995780591
1982,249,3670793,0.927710843373494
Q1,162,3371850,0.907407407407407
Q2,289,3877067,0.930795847750865
Q3,340,4274305,0.926470588235294
Q4,192,2770311,0.958333333333333
