margBRNZ,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,0,0.475460122699386
CRS,50,0,0.32
ERK,323,0,0.461300309597523
MNT,108,0,0.185185185185185
MRO,138,766,0.869565217391304
OSF,29,0,0.379310344827586
HKL,110,766,0.936363636363636
NET,6,0,0.166666666666667
TWL,867,0,0.424452133794694
1978,124,0,0.451612903225806
1979,102,766,0.588235294117647
1980,271,0,0.575645756457565
1981,237,0,0.379746835443038
1982,249,0,0.441767068273092
Q1,162,0,0.5
Q2,289,0,0.494809688581315
Q3,340,766,0.326470588235294
Q4,192,0,0.713541666666667
