margBRWN,n,landing,coverage
BDG,9,0,1
BRG,326,4315,0.932515337423313
CRS,50,0,1
ERK,323,1394,0.86687306501548
MNT,108,0,1
MRO,138,144491,0.956521739130435
OSF,29,35728,0.931034482758621
HKL,110,35728,0.990909090909091
NET,6,0,1
TWL,867,150200,0.916955017301038
1978,124,0,0.991935483870968
1979,102,0,1
1980,271,181604,0.988929889298893
1981,237,2930,0.90295358649789
1982,249,1394,0.815261044176707
Q1,162,0,0.981481481481482
Q2,289,35728,0.927335640138408
Q3,340,4315,0.861764705882353
Q4,192,145885,0.989583333333333
