margCBZN,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.254601226993865
CRS,50,0,0.66
ERK,323,0,0.315789473684211
MNT,108,0,0.277777777777778
MRO,138,125,0.557971014492754
OSF,29,0,0.241379310344828
HKL,110,125,0.590909090909091
NET,6,0,0.666666666666667
TWL,867,0,0.303344867358708
1978,124,0,0.201612903225806
1979,102,125,0.362745098039216
1980,271,0,0.468634686346863
1981,237,0,0.324894514767932
1982,249,0,0.265060240963855
Q1,162,0,0.203703703703704
Q2,289,125,0.332179930795848
Q3,340,0,0.367647058823529
Q4,192,0,0.40625
