margCNRY,n,landing,coverage
BDG,9,66834,0.888888888888889
BRG,326,1975794,0.96319018404908
CRS,50,1398777,0.88
ERK,323,1577283,0.96594427244582
MNT,108,20852,0.990740740740741
MRO,138,100136,1
OSF,29,7637,0.96551724137931
HKL,110,132906,0.990909090909091
NET,6,0,1
TWL,867,5014407,0.964244521337947
1978,124,1259855,0.951612903225806
1979,102,626077,0.970588235294118
1980,271,615166,0.966789667896679
1981,237,1146147,0.978902953586498
1982,249,1500068,0.963855421686747
Q1,162,848186,0.987654320987654
Q2,289,1937730,0.948096885813149
Q3,340,1978133,0.958823529411765
Q4,192,383264,0.994791666666667
