margCOPP,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.374233128834356
CRS,50,0,0.66
ERK,323,6444,0.984520123839009
MNT,108,0,0.888888888888889
MRO,138,2014,0.963768115942029
OSF,29,15228,0.96551724137931
HKL,110,20839,0.972727272727273
NET,6,0,1
TWL,867,2847,0.720876585928489
1978,124,0,0.604838709677419
1979,102,0,0.784313725490196
1980,271,19234,0.642066420664207
1981,237,0,0.784810126582278
1982,249,4452,0.895582329317269
Q1,162,0,0.833333333333333
Q2,289,15228,0.778546712802768
Q3,340,7833,0.708823529411765
Q4,192,625,0.713541666666667
