margEGLS,n,landing,coverage
BDG,9,0,0.333333333333333
BRG,326,0,0.220858895705521
CRS,50,0,0.18
ERK,323,0,0.18266253869969
MNT,108,1398,0.333333333333333
MRO,138,0,0.442028985507246
OSF,29,0,0.344827586206897
HKL,110,0,0.518181818181818
NET,6,0,0.166666666666667
TWL,867,1398,0.221453287197232
1978,124,0,0.379032258064516
1979,102,0,0.656862745098039
1980,271,1398,0.158671586715867
1981,237,0,0.20253164556962
1982,249,0,0.180722891566265
Q1,162,0,0.166666666666667
Q2,289,0,0.155709342560554
Q3,340,1398,0.414705882352941
Q4,192,0,0.192708333333333
