margFLAG,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.484662576687117
CRS,50,1522,0.98
ERK,323,293,0.863777089783282
MNT,108,0,0.75
MRO,138,2013,0.963768115942029
OSF,29,0,0.862068965517241
HKL,110,1682,0.963636363636364
NET,6,0,1
TWL,867,2146,0.716262975778547
1978,124,0,0.669354838709677
1979,102,0,0.774509803921569
1980,271,331,0.837638376383764
1981,237,1742,0.544303797468354
1982,249,1755,0.863453815261044
Q1,162,526,0.709876543209877
Q2,289,1522,0.698961937716263
Q3,340,599,0.770588235294118
Q4,192,1181,0.802083333333333
