margGRAS,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.273006134969325
CRS,50,0,0.14
ERK,323,1251,0.34984520123839
MNT,108,0,0.453703703703704
MRO,138,0,0.36231884057971
OSF,29,0,0.413793103448276
HKL,110,0,0.336363636363636
NET,6,0,0.666666666666667
TWL,867,1251,0.32641291810842
1978,124,0,0.185483870967742
1979,102,0,0.245098039215686
1980,271,0,0.512915129151292
1981,237,0,0.329113924050633
1982,249,1251,0.236947791164659
Q1,162,0,0.253086419753086
Q2,289,1251,0.602076124567474
Q3,340,0,0.232352941176471
Q4,192,0,0.15625
