margREDS,n,landing,coverage
BDG,9,0,0.777777777777778
BRG,326,4464,0.699386503067485
CRS,50,0,1
ERK,323,4155,0.944272445820433
MNT,108,0,0.75
MRO,138,0,0.91304347826087
OSF,29,0,0.655172413793103
HKL,110,0,1
NET,6,0,1
TWL,867,8619,0.807381776239908
1978,124,0,0.653225806451613
1979,102,0,0.656862745098039
1980,271,3996,0.981549815498155
1981,237,468,0.776371308016878
1982,249,4155,0.875502008032129
Q1,162,468,0.925925925925926
Q2,289,7030,0.747404844290657
Q3,340,0,0.817647058823529
Q4,192,1121,0.895833333333333
