margREX,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,0,0.460122699386503
CRS,50,0,0.82
ERK,323,0,0.634674922600619
MNT,108,0,0.157407407407407
MRO,138,0,0.22463768115942
OSF,29,3731,0.448275862068966
HKL,110,0,0.318181818181818
NET,6,0,0.166666666666667
TWL,867,3731,0.486735870818916
1978,124,0,0.629032258064516
1979,102,0,0.176470588235294
1980,271,0,0.535055350553506
1981,237,0,0.40506329113924
1982,249,3731,0.485943775100402
Q1,162,0,0.191358024691358
Q2,289,3731,0.221453287197232
Q3,340,0,0.732352941176471
Q4,192,0,0.59375
