margREYE,n,landing,coverage
BDG,9,0,0.777777777777778
BRG,326,0,0.315950920245399
CRS,50,0,0.3
ERK,323,0,0.198142414860681
MNT,108,0,0.314814814814815
MRO,138,0,0.644927536231884
OSF,29,0,0.241379310344828
HKL,110,0,0.718181818181818
NET,6,0,0.666666666666667
TWL,867,0,0.272202998846597
1978,124,0,0.145161290322581
1979,102,0,0.549019607843137
1980,271,0,0.302583025830258
1981,237,0,0.468354430379747
1982,249,0,0.208835341365462
Q1,162,0,0.283950617283951
Q2,289,0,0.307958477508651
Q3,340,0,0.388235294117647
Q4,192,0,0.270833333333333
