margROSY,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.365030674846626
CRS,50,0,0.5
ERK,323,0,0.374613003095975
MNT,108,0,0.333333333333333
MRO,138,321,0.797101449275362
OSF,29,0,0.517241379310345
HKL,110,321,0.963636363636364
NET,6,0,1
TWL,867,0,0.366782006920415
1978,124,0,0.629032258064516
1979,102,0,0.42156862745098
1980,271,60,0.601476014760148
1981,237,136,0.147679324894515
1982,249,125,0.44578313253012
Q1,162,125,0.419753086419753
Q2,289,0,0.325259515570934
Q3,340,60,0.470588235294118
Q4,192,136,0.5625
