margRSTN,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,1338,0.717791411042945
CRS,50,157,0.98
ERK,323,291,0.73374613003096
MNT,108,0,0.694444444444444
MRO,138,0,0.797101449275362
OSF,29,0,0.551724137931034
HKL,110,0,0.909090909090909
NET,6,0,1
TWL,867,1786,0.718569780853518
1978,124,47,0.5
1979,102,244,0.843137254901961
1980,271,0,0.896678966789668
1981,237,0,0.784810126582278
1982,249,1495,0.610441767068273
Q1,162,0,0.827160493827161
Q2,289,1582,0.775086505190311
Q3,340,204,0.673529411764706
Q4,192,0,0.739583333333333
