margSLGR,n,landing,coverage
BDG,9,0,0.555555555555556
BRG,326,0,0.319018404907975
CRS,50,0,0.38
ERK,323,1894,0.321981424148607
MNT,108,0,0.0833333333333333
MRO,138,0,0.376811594202899
OSF,29,0,0.379310344827586
HKL,110,0,0.409090909090909
NET,6,0,0.166666666666667
TWL,867,1894,0.29757785467128
1978,124,0,0.282258064516129
1979,102,1894,0.42156862745098
1980,271,0,0.391143911439114
1981,237,0,0.270042194092827
1982,249,0,0.224899598393574
Q1,162,1894,0.240740740740741
Q2,289,0,0.356401384083045
Q3,340,0,0.255882352941176
Q4,192,0,0.390625
