margSWSP,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.257668711656442
CRS,50,0,0.44
ERK,323,0,0.51702786377709
MNT,108,0,0.416666666666667
MRO,138,0,0.369565217391304
OSF,29,0,0.344827586206897
HKL,110,0,0.509090909090909
NET,6,0,0.166666666666667
TWL,867,0,0.380622837370242
1978,124,0,0.314516129032258
1979,102,0,0.254901960784314
1980,271,0,0.376383763837638
1981,237,0,0.481012658227848
1982,249,0,0.42570281124498
Q1,162,0,0.123456790123457
Q2,289,0,0.321799307958477
Q3,340,0,0.585294117647059
Q4,192,0,0.390625
