margVRML,n,landing,coverage
BDG,9,2300,0.888888888888889
BRG,326,66054,0.99079754601227
CRS,50,3415,0.94
ERK,323,39515,0.975232198142415
MNT,108,0,1
MRO,138,733353,0.833333333333333
OSF,29,5883,0.96551724137931
HKL,110,734598,0.8
NET,6,0,1
TWL,867,115922,0.980392156862745
1978,124,50847,0.983870967741935
1979,102,61012,0.96078431372549
1980,271,248223,0.959409594095941
1981,237,191821,0.962025316455696
1982,249,298617,0.947791164658635
Q1,162,319563,0.925925925925926
Q2,289,165469,0.965397923875433
Q3,340,243199,0.964705882352941
Q4,192,122289,0.973958333333333
