margWDOW,n,landing,coverage
BDG,9,13218,1
BRG,326,635196,0.975460122699387
CRS,50,182129,0.98
ERK,323,15744399,0.81733746130031
MNT,108,570494,0.944444444444444
MRO,138,219593,1
OSF,29,788477,0.96551724137931
HKL,110,208182,0.990909090909091
NET,6,10917,1
TWL,867,17934407,0.914648212226067
1978,124,749148,0.975806451612903
1979,102,2751370,0.901960784313726
1980,271,10708990,0.874538745387454
1981,237,3288416,0.894514767932489
1982,249,655582,0.987951807228916
Q1,162,4011229,0.938271604938272
Q2,289,4284190,0.878892733564014
Q3,340,4756660,0.947058823529412
Q4,192,5101427,0.9375
