margYTRK,n,landing,coverage
BDG,9,4003,1
BRG,326,492844,0.95398773006135
CRS,50,465516,0.94
ERK,323,885402,0.972136222910217
MNT,108,333889,0.953703703703704
MRO,138,199364,0.949275362318841
OSF,29,55138,1
HKL,110,571560,0.936363636363636
NET,6,31893,1
TWL,867,1832703,0.963091118800461
1978,124,618089,0.983870967741935
1979,102,154519,0.980392156862745
1980,271,242145,0.959409594095941
1981,237,767033,0.945147679324895
1982,249,654370,0.955823293172691
Q1,162,493422,0.969135802469136
Q2,289,309370,0.97923875432526
Q3,340,1084024,0.973529411764706
Q4,192,549340,0.901041666666667
