species,year,n,landing,coverage
ARRA,1978,124,5863246,0.991935483870968
ARRA,1979,102,8086821,0.990196078431373
ARRA,1980,271,18891334,0.981549815498155
ARRA,1981,237,16465988,0.983122362869198
ARRA,1982,249,11122887,0.943775100401606
BANK,1978,124,5863246,0.959677419354839
BANK,1979,102,8086821,0.892156862745098
BANK,1980,271,18891334,0.959409594095941
BANK,1981,237,16465988,0.90295358649789
BANK,1982,249,11122887,0.85140562248996
BCAC,1978,124,5863246,0.612903225806452
BCAC,1979,102,8086821,0.676470588235294
BCAC,1980,271,18891334,0.756457564575646
BCAC,1981,237,16465988,0.683544303797468
BCAC,1982,249,11122887,0.614457831325301
BLCK,1978,124,5863246,0.951612903225806
BLCK,1979,102,8086821,0.980392156862745
BLCK,1980,271,18891334,0.940959409594096
BLCK,1981,237,16465988,0.932489451476793
BLCK,1982,249,11122887,0.895582329317269
BLGL,1978,124,5863246,0.975806451612903
BLGL,1979,102,8086821,0.941176470588235
BLGL,1980,271,18891334,0.974169741697417
BLGL,1981,237,16465988,0.978902953586498
BLGL,1982,249,11122887,0.963855421686747
BLUR,1978,124,5863246,0.451612903225806
BLUR,1979,102,8086821,0.607843137254902
BLUR,1980,271,18891334,0.77859778597786
BLUR,1981,237,16465988,0.810126582278481
BLUR,1982,249,11122887,0.93574297188755
BRNZ,1978,124,5863246,0.451612903225806
BRNZ,1979,102,8086821,0.588235294117647
BRNZ,1980,271,18891334,0.575645756457565
BRNZ,1981,237,16465988,0.379746835443038
BRNZ,1982,249,11122887,0.441767068273092
BRWN,1978,124,5863246,0.991935483870968
BRWN,1979,102,8086821,1
BRWN,1980,271,18891334,0.988929889298893
BRWN,1981,237,16465988,0.90295358649789
BRWN,1982,249,11122887,0.815261044176707
CBZN,1978,124,5863246,0.201612903225806
CBZN,1979,102,8086821,0.362745098039216
CBZN,1980,271,18891334,0.468634686346863
CBZN,1981,237,16465988,0.324894514767932
CBZN,1982,249,11122887,0.265060240963855
CLPR,1978,124,5863246,0.725806451612903
CLPR,1979,102,8086821,0.529411764705882
CLPR,1980,271,18891334,0.708487084870849
CLPR,1981,237,16465988,0.793248945147679
CLPR,1982,249,11122887,0.710843373493976
CNRY,1978,124,5863246,0.596774193548387
CNRY,1979,102,8086821,0.764705882352941
CNRY,1980,271,18891334,0.767527675276753
CNRY,1981,237,16465988,0.784810126582278
CNRY,1982,249,11122887,0.763052208835341
COPP,1978,124,5863246,0.604838709677419
COPP,1979,102,8086821,0.784313725490196
COPP,1980,271,18891334,0.642066420664207
COPP,1981,237,16465988,0.784810126582278
COPP,1982,249,11122887,0.895582329317269
CWCD,1978,124,5863246,1
CWCD,1979,102,8086821,0.970588235294118
CWCD,1980,271,18891334,0.981549815498155
CWCD,1981,237,16465988,0.983122362869198
CWCD,1982,249,11122887,0.983935742971888
DBRK,1978,124,5863246,0.830645161290323
DBRK,1979,102,8086821,0.911764705882353
DBRK,1980,271,18891334,0.88929889298893
DBRK,1981,237,16465988,0.860759493670886
DBRK,1982,249,11122887,0.799196787148594
EGLS,1978,124,5863246,0.379032258064516
EGLS,1979,102,8086821,0.656862745098039
EGLS,1980,271,18891334,0.158671586715867
EGLS,1981,237,16465988,0.20253164556962
EGLS,1982,249,11122887,0.180722891566265
FLAG,1978,124,5863246,0.669354838709677
FLAG,1979,102,8086821,0.774509803921569
FLAG,1980,271,18891334,0.837638376383764
FLAG,1981,237,16465988,0.544303797468354
FLAG,1982,249,11122887,0.863453815261044
GBLC,1978,124,5863246,0.282258064516129
GBLC,1979,102,8086821,0.715686274509804
GBLC,1980,271,18891334,0.715867158671587
GBLC,1981,237,16465988,0.434599156118143
GBLC,1982,249,11122887,0.57429718875502
GRAS,1978,124,5863246,0.185483870967742
GRAS,1979,102,8086821,0.245098039215686
GRAS,1980,271,18891334,0.512915129151292
GRAS,1981,237,16465988,0.329113924050633
GRAS,1982,249,11122887,0.236947791164659
GSPT,1978,124,5863246,0.854838709677419
GSPT,1979,102,8086821,0.794117647058823
GSPT,1980,271,18891334,0.845018450184502
GSPT,1981,237,16465988,0.852320675105485
GSPT,1982,249,11122887,0.85140562248996
GSRK,1978,124,5863246,0.82258064516129
GSRK,1979,102,8086821,0.892156862745098
GSRK,1980,271,18891334,0.92619926199262
GSRK,1981,237,16465988,0.932489451476793
GSRK,1982,249,11122887,0.943775100401606
LCOD,1978,124,5863246,0.967741935483871
LCOD,1979,102,8086821,0.96078431372549
LCOD,1980,271,18891334,0.940959409594096
LCOD,1981,237,16465988,0.991561181434599
LCOD,1982,249,11122887,0.995983935742972
LSPN,1978,124,5863246,0.330645161290323
LSPN,1979,102,8086821,0.588235294117647
LSPN,1980,271,18891334,0.450184501845018
LSPN,1981,237,16465988,0.472573839662447
LSPN,1982,249,11122887,0.353413654618474
MXRF,1978,124,5863246,0.556451612903226
MXRF,1979,102,8086821,0.382352941176471
MXRF,1980,271,18891334,0.228782287822878
MXRF,1981,237,16465988,0.50210970464135
MXRF,1982,249,11122887,0.417670682730924
OLVE,1978,124,5863246,0.532258064516129
OLVE,1979,102,8086821,0.823529411764706
OLVE,1980,271,18891334,0.826568265682657
OLVE,1981,237,16465988,0.763713080168776
OLVE,1982,249,11122887,0.859437751004016
