species,gear,year,n,landing,coverage
ARRA,HKL,1978,1,31286,1
ARRA,HKL,1979,29,781540,1
ARRA,HKL,1980,24,630761,1
ARRA,HKL,1981,27,637932,1
ARRA,HKL,1982,29,1775568,1
ARRA,NET,1978,4,67535,1
ARRA,NET,1979,1,746,1
ARRA,NET,1982,1,150192,1
ARRA,TWL,1978,119,5764425,0.991596638655462
ARRA,TWL,1979,72,7304535,0.986111111111111
ARRA,TWL,1980,247,18260573,0.979757085020243
ARRA,TWL,1981,210,15828056,0.980952380952381
ARRA,TWL,1982,219,9197127,0.936073059360731
BANK,HKL,1978,1,31286,1
BANK,HKL,1979,29,781540,1
BANK,HKL,1980,24,630761,0.958333333333333
BANK,HKL,1981,27,637932,1
BANK,HKL,1982,29,1775568,0.96551724137931
BANK,NET,1978,4,67535,1
BANK,NET,1979,1,746,1
BANK,NET,1982,1,150192,0
BANK,TWL,1978,119,5764425,0.966386554621849
BANK,TWL,1979,72,7304535,0.986111111111111
BANK,TWL,1980,247,18260573,0.995951417004049
BANK,TWL,1981,210,15828056,0.933333333333333
BANK,TWL,1982,219,9197127,0.963470319634703
BCAC,HKL,1978,1,31286,1
BCAC,HKL,1979,29,781540,0.862068965517241
BCAC,HKL,1980,24,630761,0.958333333333333
BCAC,HKL,1981,27,637932,0.962962962962963
BCAC,HKL,1982,29,1775568,0.896551724137931
BCAC,NET,1978,4,67535,1
BCAC,NET,1979,1,746,1
BCAC,NET,1982,1,150192,1
BCAC,TWL,1978,119,5764425,0.941176470588235
BCAC,TWL,1979,72,7304535,0.944444444444444
BCAC,TWL,1980,247,18260573,0.951417004048583
BCAC,TWL,1981,210,15828056,0.89047619047619
BCAC,TWL,1982,219,9197127,0.926940639269406
BLCK,HKL,1978,1,31286,1
BLCK,HKL,1979,29,781540,1
BLCK,HKL,1980,24,630761,1
BLCK,HKL,1981,27,637932,1
BLCK,HKL,1982,29,1775568,0.896551724137931
BLCK,NET,1978,4,67535,1
BLCK,NET,1979,1,746,1
BLCK,NET,1982,1,150192,1
BLCK,TWL,1978,119,5764425,0.957983193277311
BLCK,TWL,1979,72,7304535,1
BLCK,TWL,1980,247,18260573,0.94331983805668
BLCK,TWL,1981,210,15828056,0.923809523809524
BLCK,TWL,1982,219,9197127,0.904109589041096
BLGL,HKL,1978,1,31286,1
BLGL,HKL,1979,29,781540,0.931034482758621
BLGL,HKL,1980,24,630761,1
BLGL,HKL,1981,27,637932,1
BLGL,HKL,1982,29,1775568,1
BLGL,NET,1978,4,67535,1
BLGL,NET,1979,1,746,1
BLGL,NET,1982,1,150192,0
BLGL,TWL,1978,119,5764425,0.974789915966387
BLGL,TWL,1979,72,7304535,0.944444444444444
BLGL,TWL,1980,247,18260573,0.97165991902834
BLGL,TWL,1981,210,15828056,0.976190476190476
BLGL,TWL,1982,219,9197127,0.963470319634703
BLUR,HKL,1978,1,31286,1
BLUR,HKL,1979,29,781540,0.862068965517241
BLUR,HKL,1980,24,630761,0.958333333333333
BLUR,HKL,1981,27,637932,0.962962962962963
BLUR,HKL,1982,29,1775568,0.896551724137931
BLUR,NET,1978,4,67535,1
BLUR,NET,1979,1,746,0
BLUR,NET,1982,1,150192,1
BLUR,TWL,1978,119,5764425,1
BLUR,TWL,1979,72,7304535,1
BLUR,TWL,1980,247,18260573,0.995951417004049
BLUR,TWL,1981,210,15828056,1
BLUR,TWL,1982,219,9197127,1
BRNZ,HKL,1978,1,31286,1
BRNZ,HKL,1979,29,781540,0.96551724137931
BRNZ,HKL,1980,24,630761,1
BRNZ,HKL,1981,27,637932,0.814814814814815
BRNZ,HKL,1982,29,1775568,1
BRNZ,NET,1978,4,67535,1
BRNZ,NET,1979,1,746,1
BRNZ,NET,1982,1,150192,1
BRNZ,TWL,1978,119,5764425,0.966386554621849
BRNZ,TWL,1979,72,7304535,1
BRNZ,TWL,1980,247,18260573,0.975708502024291
BRNZ,TWL,1981,210,15828056,0.919047619047619
BRNZ,TWL,1982,219,9197127,0.958904109589041
BRWN,HKL,1978,1,31286,1
BRWN,HKL,1979,29,781540,1
BRWN,HKL,1980,24,630761,0.958333333333333
BRWN,HKL,1981,27,637932,1
BRWN,HKL,1982,29,1775568,1
BRWN,NET,1978,4,67535,1
BRWN,NET,1979,1,746,1
BRWN,NET,1982,1,150192,1
BRWN,TWL,1978,119,5764425,0.991596638655462
BRWN,TWL,1979,72,7304535,1
BRWN,TWL,1980,247,18260573,0.991902834008097
BRWN,TWL,1981,210,15828056,0.995238095238095
BRWN,TWL,1982,219,9197127,0.995433789954338
CBZN,HKL,1978,1,31286,1
CBZN,HKL,1979,29,781540,0.96551724137931
CBZN,HKL,1980,24,630761,1
CBZN,HKL,1981,27,637932,1
CBZN,HKL,1982,29,1775568,0.96551724137931
CBZN,NET,1978,4,67535,1
CBZN,NET,1979,1,746,1
CBZN,NET,1982,1,150192,1
CBZN,TWL,1978,119,5764425,0.991596638655462
CBZN,TWL,1979,72,7304535,1
CBZN,TWL,1980,247,18260573,1
CBZN,TWL,1981,210,15828056,0.876190476190476
CBZN,TWL,1982,219,9197127,0.936073059360731
CLPR,HKL,1978,1,31286,1
CLPR,HKL,1979,29,781540,0.931034482758621
CLPR,HKL,1980,24,630761,0.958333333333333
CLPR,HKL,1981,27,637932,1
CLPR,HKL,1982,29,1775568,0.96551724137931
CLPR,NET,1978,4,67535,1
CLPR,NET,1979,1,746,1
CLPR,NET,1982,1,150192,1
CLPR,TWL,1978,119,5764425,0.991596638655462
CLPR,TWL,1979,72,7304535,0.875
CLPR,TWL,1980,247,18260573,0.927125506072874
CLPR,TWL,1981,210,15828056,0.952380952380952
CLPR,TWL,1982,219,9197127,0.977168949771689
CNRY,HKL,1978,1,31286,1
CNRY,HKL,1979,29,781540,1
CNRY,HKL,1980,24,630761,0.958333333333333
CNRY,HKL,1981,27,637932,1
CNRY,HKL,1982,29,1775568,1
CNRY,NET,1978,4,67535,1
CNRY,NET,1979,1,746,1
CNRY,NET,1982,1,150192,1
CNRY,TWL,1978,119,5764425,0.915966386554622
CNRY,TWL,1979,72,7304535,0.972222222222222
CNRY,TWL,1980,247,18260573,0.931174089068826
CNRY,TWL,1981,210,15828056,0.947619047619048
CNRY,TWL,1982,219,9197127,0.940639269406393
COPP,HKL,1978,1,31286,1
COPP,HKL,1979,29,781540,1
COPP,HKL,1980,24,630761,0.916666666666667
COPP,HKL,1981,27,637932,1
COPP,HKL,1982,29,1775568,0.96551724137931
COPP,NET,1978,4,67535,1
COPP,NET,1979,1,746,1
COPP,NET,1982,1,150192,1
COPP,TWL,1978,119,5764425,1
COPP,TWL,1979,72,7304535,1
COPP,TWL,1980,247,18260573,0.991902834008097
COPP,TWL,1981,210,15828056,1
COPP,TWL,1982,219,9197127,0.990867579908676
CWCD,HKL,1978,1,31286,1
CWCD,HKL,1979,29,781540,0.896551724137931
CWCD,HKL,1980,24,630761,0.791666666666667
CWCD,HKL,1981,27,637932,0.962962962962963
CWCD,HKL,1982,29,1775568,0.96551724137931
CWCD,NET,1978,4,67535,1
CWCD,NET,1979,1,746,1
CWCD,NET,1982,1,150192,1
CWCD,TWL,1978,119,5764425,1
CWCD,TWL,1979,72,7304535,1
CWCD,TWL,1980,247,18260573,1
CWCD,TWL,1981,210,15828056,0.985714285714286
CWCD,TWL,1982,219,9197127,0.986301369863014
DBRK,HKL,1978,1,31286,1
DBRK,HKL,1979,29,781540,1
DBRK,HKL,1980,24,630761,1
DBRK,HKL,1981,27,637932,1
DBRK,HKL,1982,29,1775568,1
DBRK,NET,1978,4,67535,1
DBRK,NET,1979,1,746,1
DBRK,NET,1982,1,150192,1
DBRK,TWL,1978,119,5764425,0.932773109243697
DBRK,TWL,1979,72,7304535,0.958333333333333
DBRK,TWL,1980,247,18260573,0.955465587044534
DBRK,TWL,1981,210,15828056,0.933333333333333
DBRK,TWL,1982,219,9197127,0.894977168949772
EGLS,HKL,1978,1,31286,1
EGLS,HKL,1979,29,781540,1
EGLS,HKL,1980,24,630761,1
EGLS,HKL,1981,27,637932,1
EGLS,HKL,1982,29,1775568,1
EGLS,NET,1978,4,67535,1
EGLS,NET,1979,1,746,1
EGLS,NET,1982,1,150192,1
EGLS,TWL,1978,119,5764425,1
EGLS,TWL,1979,72,7304535,0.513888888888889
EGLS,TWL,1980,247,18260573,0.951417004048583
EGLS,TWL,1981,210,15828056,0.904761904761905
EGLS,TWL,1982,219,9197127,0.986301369863014
FLAG,HKL,1978,1,31286,1
FLAG,HKL,1979,29,781540,1
FLAG,HKL,1980,24,630761,1
FLAG,HKL,1981,27,637932,0.888888888888889
FLAG,HKL,1982,29,1775568,0.96551724137931
FLAG,NET,1978,4,67535,1
FLAG,NET,1979,1,746,1
FLAG,NET,1982,1,150192,1
FLAG,TWL,1978,119,5764425,1
FLAG,TWL,1979,72,7304535,1
FLAG,TWL,1980,247,18260573,0.995951417004049
FLAG,TWL,1981,210,15828056,0.995238095238095
FLAG,TWL,1982,219,9197127,0.995433789954338
GBLC,HKL,1978,1,31286,1
GBLC,HKL,1979,29,781540,0.931034482758621
GBLC,HKL,1980,24,630761,0.916666666666667
GBLC,HKL,1981,27,637932,1
GBLC,HKL,1982,29,1775568,0.931034482758621
GBLC,NET,1978,4,67535,1
