margBRNZ,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.950920245398773
CRS,50,0,0.98
ERK,323,0,0.996904024767802
MNT,108,0,0.888888888888889
MRO,138,766,0.956521739130435
OSF,29,0,0.793103448275862
HKL,110,766,0.945454545454545
NET,6,0,1
TWL,867,0,0.958477508650519
1978,124,0,0.967741935483871
1979,102,766,0.990196078431373
1980,271,0,0.977859778597786
1981,237,0,0.907172995780591
1982,249,0,0.963855421686747
Q1,162,0,0.882716049382716
Q2,289,0,0.993079584775087
Q3,340,766,0.991176470588235
Q4,192,0,0.90625
